Target_1,Calibration,Stray light test,216.54044585760118,44.70761679918191,"Pitch=-35.4645, PA=213.3583",-35.4645,213.35825209964918,-54.5355
Target_2,Calibration,Stray light test,216.73340237786738,44.91501404952229,"Pitch=-35.2160, PA=213.4942",-35.216,213.49424318942488,-54.784
Target_3,Calibration,Stray light test,217.26423433524138,45.476285996500195,"Pitch=-34.5415, PA=213.8709",-34.5415,213.87088346919242,-55.4585
Target_4,Calibration,Stray light test,218.32888650098278,46.56199995700289,"Pitch=-33.2280, PA=214.6370",-33.228000000000016,214.63702221484746,-56.771999999999984
Target_5,Calibration,Stray light test,220.18003631895832,48.32912756465712,"Pitch=-31.0625, PA=216.0009",-31.062500000000014,216.0008606066152,-58.937499999999986
Target_6,Calibration,Stray light test,223.1910053252118,50.90485270850122,"Pitch=-27.8320, PA=218.2952",-27.831999999999994,218.29520841024132,-62.168000000000006
Target_7,Calibration,Stray light test,227.9855626859483,54.35099136246509,"Pitch=-23.3235, PA=222.1080",-23.323499999999996,222.10803556785976,-66.6765
Target_8,Calibration,Stray light test,235.71110489325542,58.577294079013775,"Pitch=-17.3240, PA=228.5549",-17.324000000000012,228.55493833223852,-72.67599999999999
Target_9,Calibration,Stray light test,248.54860733544513,63.11295559217137,"Pitch=-9.6205, PA=239.7859",-9.620500000000007,239.78587013601776,-80.3795
Target_10,Calibration,Stray light test,269.82508693835973,66.5474070554913,"Pitch=-0.0000, PA=259.0906",-1.4210854715202004e-14,259.0905794959495,-89.99999999999999
Target_11,Calibration,Stray light test,89.81810984274458,-66.5619502098541,"Pitch=0.0000, PA=100.9363",1.4210854715202004e-14,100.93625293590829,1.4210854715202004e-14
Target_12,Calibration,Stray light test,68.53621225946864,-63.12263281184254,"Pitch=9.6205, PA=120.2478",9.620500000000021,120.24780387702135,9.620500000000021
Target_13,Calibration,Stray light test,55.70092348781562,-58.58334672905482,"Pitch=17.3240, PA=131.4777",17.323999999999984,131.47766347330935,17.323999999999984
Target_14,Calibration,Stray light test,47.97858575498509,-54.35470491015005,"Pitch=23.3235, PA=137.9223",23.323500000000024,137.92225773489469,23.323500000000024
Target_15,Calibration,Stray light test,43.18661074412669,-50.90707802978892,"Pitch=27.8320, PA=141.7332",27.832000000000022,141.73318264042632,27.832000000000022
Target_16,Calibration,Stray light test,40.17745763083338,-48.330409692289706,"Pitch=31.0625, PA=144.0262",31.062499999999986,144.02620657543898,31.062499999999986
Target_17,Calibration,Stray light test,38.327488163192456,-46.562700294816494,"Pitch=33.2280, PA=145.3892",33.22799999999998,145.38919702516543,33.22799999999998
Target_18,Calibration,Stray light test,37.26353454862961,-45.476651362661784,"Pitch=34.5415, PA=146.1548",34.54150000000001,146.15483996208093,34.54150000000001
Target_19,Calibration,Stray light test,36.7330558738319,-44.91521234642283,"Pitch=35.2160, PA=146.5312",35.21599999999998,146.5312314175824,35.21599999999998
Target_20,Calibration,Stray light test,36.5402285599939,-44.707754361843584,"Pitch=35.4645, PA=146.6671",35.464500000000015,146.66713184677982,35.464500000000015
